                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.1617,                 1.4461,                 0.8737,                0.99583,                 0.6486,                 0.7129,                0.70071,                0.43255,                0.63344,                0.69251,                0.66911,                0.35587,                 1.2251,                 1.6385,                0.95147,                 1.0695,             0.00084703,             0.00084703,             0.00084703
                     51,                 1.1505,                 1.4321,                0.86722,                0.98847,                0.62182,                0.74176,                0.70666,                0.43586,                0.61569,                0.72068,                0.68908,                0.36635,                 1.2263,                   1.62,                 0.9517,                  1.071,             0.00084153,             0.00084153,             0.00084153
                     52,                 1.1466,                 1.4194,                0.84804,                0.99233,                0.64806,                0.72664,                0.72892,                0.45327,                0.63822,                0.71641,                0.70834,                0.37643,                 1.2146,                 1.6121,                0.92298,                 1.0661,             0.00083603,             0.00083603,             0.00083603
                     53,                 1.1465,                 1.4234,                0.86552,                0.99508,                0.64722,                0.73261,                0.72631,                0.44561,                0.63492,                 0.7188,                0.70394,                0.37148,                 1.2563,                 1.6597,                0.93772,                 1.0849,             0.00083053,             0.00083053,             0.00083053
                     54,                 1.1414,                 1.4144,                0.85439,                0.99077,                 0.6476,                0.74323,                0.72055,                0.45089,                0.63232,                 0.7254,                0.69511,                 0.3715,                 1.2273,                 1.6326,                0.92162,                 1.0724,             0.00082503,             0.00082503,             0.00082503
                     55,                 1.1364,                 1.4018,                0.83396,                0.98735,                 0.6613,                0.73244,                0.72377,                0.44833,                0.64831,                0.71589,                0.69983,                0.37739,                 1.2274,                 1.6251,                0.92337,                 1.0747,             0.00081953,             0.00081953,             0.00081953
                     56,                  1.135,                 1.4218,                0.85253,                0.98669,                 0.6336,                0.74157,                0.71307,                0.44386,                0.65096,                0.70844,                0.69357,                0.37553,                 1.2292,                 1.6243,                0.93527,                 1.0746,             0.00081403,             0.00081403,             0.00081403
                     57,                 1.1314,                 1.3943,                0.83767,                0.98557,                0.62244,                0.75242,                0.72033,                0.44571,                0.61315,                0.73758,                0.69912,                0.37487,                 1.2443,                 1.6577,                0.94152,                 1.0792,             0.00080853,             0.00080853,             0.00080853
                     58,                 1.1263,                 1.3881,                0.83043,                0.98687,                0.64986,                0.72419,                0.71934,                0.44877,                0.64048,                0.71139,                0.69649,                0.37685,                 1.2339,                 1.6567,                0.92917,                 1.0759,             0.00080303,             0.00080303,             0.00080303
                     59,                 1.1264,                 1.3888,                 0.8145,                0.98483,                0.62849,                0.75863,                0.71649,                0.44631,                0.61784,                0.74595,                0.69346,                0.37399,                 1.2432,                 1.6565,                0.94041,                 1.0786,             0.00079753,             0.00079753,             0.00079753
                     60,                  1.116,                 1.3635,                0.81117,                0.98008,                0.62971,                 0.7583,                0.72237,                0.44918,                0.62016,                 0.7467,                0.70319,                0.37145,                 1.2272,                 1.6518,                0.92228,                 1.0747,             0.00079203,             0.00079203,             0.00079203
                     61,                 1.1178,                 1.3827,                0.81449,                0.98452,                0.66987,                0.71573,                0.72035,                0.44395,                0.66238,                0.69644,                0.69337,                0.37179,                 1.2454,                 1.6781,                0.92736,                 1.0812,             0.00078653,             0.00078653,             0.00078653
                     62,                  1.116,                 1.3673,                0.82348,                0.97906,                0.62361,                0.74582,                0.72386,                 0.4473,                0.62177,                0.72754,                0.70508,                0.37337,                 1.2442,                 1.6896,                0.93168,                 1.0756,             0.00078103,             0.00078103,             0.00078103
                     63,                  1.109,                 1.3579,                0.81335,                0.97993,                0.65845,                0.73904,                0.72736,                0.44679,                0.65124,                0.72559,                 0.7103,                0.37498,                 1.2529,                 1.6725,                0.91618,                 1.0822,             0.00077553,             0.00077553,             0.00077553
                     64,                 1.1116,                  1.355,                0.80302,                0.98075,                0.62607,                0.73772,                0.71423,                0.44472,                0.62588,                0.72837,                0.69882,                0.37648,                 1.2472,                 1.6729,                0.92465,                 1.0797,             0.00077003,             0.00077003,             0.00077003
                     65,                   1.11,                 1.3715,                0.81471,                0.97609,                0.64651,                 0.7393,                0.70516,                0.43295,                 0.6387,                0.72753,                0.68819,                  0.362,                 1.2538,                 1.6954,                0.93323,                  1.085,             0.00076453,             0.00076453,             0.00076453
                     66,                 1.0958,                 1.3332,                0.80167,                0.97333,                0.64034,                0.75618,                0.73244,                 0.4539,                0.63138,                0.73143,                0.71102,                0.37998,                 1.2394,                 1.6655,                0.91335,                 1.0775,             0.00075904,             0.00075904,             0.00075904
                     67,                 1.1122,                 1.3704,                0.80884,                0.97452,                0.63567,                0.73819,                0.71381,                0.43964,                0.62794,                0.72903,                0.69656,                0.36936,                 1.2532,                 1.7004,                0.92397,                 1.0816,             0.00075354,             0.00075354,             0.00075354
